Club Name,City,Stadium,Country,Est. Date,User Name,Logo
Taboão da Serra,Taboão da Serra,,Brazil,,,
Taquaritinga,Taquaritinga,,Brazil,,,
Taubaté,Taubaté,,Brazil,,,
Tanabi,Tanabi,,Brazil,,,
Tupã,Tupã,,Brazil,,,
União Barbarense,Santa Bárbara d'Oeste,,Brazil,,,
União Mogi,Mogi das Cruzes,,Brazil,,,
União São João,Araras,,Brazil,,,
União Suzano,Suzano,,Brazil,,,
Velo Clube,Rio Claro,,Brazil,,,
Votoraty,Votorantim,,Brazil,,,
Votuporanguense,Votuporanga,,Brazil,,,
XV de Caraguatatuba,Caraguatatuba,,Brazil,,,
XV de Jaú,Jaú,,Brazil,,,
XV de Piracicaba,Piracicaba,,Brazil,,,
Americano (SP),Santos,,Brazil,,,
Araçatuba,Araçatuba,,Brazil,,,
BAC,Bauru,,Brazil,,,
Catanduvense,Catanduva,,Brazil,,,
Comercial (SP),São Paulo,,Brazil,,,
Corinthians de Presidente Prudente,Presidente Prudente,,Brazil,,,
Germânia,São Paulo,,Brazil,,,
Internacional de São Paulo,São Paulo,,Brazil,,,
Luzitano,São Paulo,,Brazil,,,
Mackenzie College,São Paulo,,Brazil,,,
Novorizontino,Novo Horizonte,,Brazil,,,
AA Palmeiras,São Paulo,,Brazil,,,
CA Paulista,São Paulo,,Brazil,,,
Paulistano,São Paulo,,Brazil,,,
Ponte Preta Sumaré,Sumaré,,Brazil,,,
São Bento,São Paulo,,Brazil,,,
Sãocarlense,São Carlos,,Brazil,,,
São Paulo Athletic,São Paulo,,Brazil,,,
São Paulo da Floresta,São Paulo,,Brazil,,,
Scottish Wanderers,São Paulo,,Brazil,,,
Amadense,Tobias Barreto,,Brazil,,,
América (SE),Propriá,,Brazil,,,
Boca Júnior,Cristinápolis,,Brazil,,,
Boquinhense,Boquim,,Brazil,,,
Confiança,Aracaju,,Brazil,,,
Coritiba (SE),Itabaiana,,Brazil,,,
Cotinguiba,Aracaju,,Brazil,,,
Estanciano,Estância,,Brazil,,,
Gararu,Gararu,,Brazil,,,
Guarany (SE),Porto da Folha,,Brazil,,,
Itabaiana,Itabaiana,,Brazil,,,
Lagartense,Lagarto,,Brazil,,,
Lagarto,Lagarto,,Brazil,,,
Laranjeiras,Laranjeiras,,Brazil,,,
Maruinense,Maruim,,Brazil,,,
Olímpico,Itabaianinha,,Brazil,,,
Pirambu,Pirambu,,Brazil,,,
Propriá,Propriá,,Brazil,,,
Riachuelo,Riachuelo,,Brazil,,,
River Plate,Carmópolis,,Brazil,,,
São Domingos,São Domingos,,Brazil,,,
Sergipe,Aracaju,,Brazil,,,
Sete de Junho,Tobias Barreto,,Brazil,,,
Socorrense,Nossa Senhora do Socorro,,Brazil,,,
Vasco-SE,Aracaju,,Brazil,,,
Araguaína,Araguaína,,Brazil,,,
Alvorada,Alvorada,,Brazil,,,
Colinas,Colinas do Tocantins,,Brazil,,,
Guaraí,Guaraí,,Brazil,,,
Gurupi,Gurupi,,Brazil,,,
Intercap,Paraíso do Tocantins,,Brazil,,,
Interporto,Porto Nacional,,Brazil,,,
Kaburé,Colinas do Tocantins,,Brazil,,,
Palmas,Palmas,,Brazil,,,
São José (TO),Palmas,,Brazil,,,
Tocantinópolis,Tocantinópolis,,Brazil,,,
Tocantins,Palmas,,Brazil,,,
Tocantins (Miracema),Miracema do Tocantins,,Brazil,,,
Arsenal,Sarandí,Julio Humberto Grondona,Argentina,,,
Atlético de Rafaela,Rafaela,Nuevo Monumental,Argentina,,,
Banfield,Banfield,Florencio Sola,Argentina,,,
Belgrano,Córdoba,Gigante de Alberdi,Argentina,,,
Boca Juniors,Buenos Aires,Alberto J. Armando (La Bombonera),Argentina,,,
Defensa y Justicia,Florencio Varela,"Norberto ""Tito"" Tomaghello",Argentina,,,
Estudiantes (LP),La Plata,Estadio Único de La Plata,Argentina,,,
Gimnasia y Esgrima (La Plata),La Plata,Juan Carmelo Zerillo,Argentina,,,
Godoy Cruz,Godoy Cruz,Malvinas Argentinas,Argentina,,,
Independiente,Avellaneda,Libertadores de América,Argentina,,,
Lanús,Lanús,Ciudad de Lanús – Néstor Díaz Pérez,Argentina,,,
Newell's Old Boys,Rosario,Marcelo Bielsa,Argentina,,,
Olimpo,Bahía Blanca,Roberto Natalio Carminatti,Argentina,,,
Quilmes,Quilmes,Centenario Dr. José Luis Meiszner,Argentina,,,
Racing Club,Avellaneda,Presidente Juan Domingo Perón,Argentina,,,
River Plate,Buenos Aires,Monumental Antonio V. Liberti,Argentina,,,
Rosario Central,Rosario,Gigante de Arroyito,Argentina,,,
San Lorenzo,Buenos Aires,Pedro Bidegain,Argentina,,,
Tigre,Victoria,Coliseo de Victoria,Argentina,,,
Vélez Sársfield,Buenos Aires,José Amalfitani,Argentina,,,
Aldosivi,Mar del Plata,José María Minella,Argentina,,,
All Boys,Buenos Aires,Islas Malvinas,Argentina,,,
Argentinos Juniors,Buenos Aires,Diego Armando Maradona,Argentina,,,
Atlético Tucumán,San Miguel de Tucumán,Monumental Presidente José Fierro,Argentina,,,
Boca Unidos,Corrientes,José Antonio Romero Feris,Argentina,,,
Colón,Santa Fe,Brigadier General Estanislao López,Argentina,,,
Crucero del Norte,Garupá,Comandante Andrés Guacurarí,Argentina,,,
Douglas Haig,Pergamino,Miguel Morales,Argentina,,,
Ferro Carril Oeste,Buenos Aires,Arq. Ricardo Etcheverry,Argentina,,,
Gimnasia y Esgrima (Jujuy),San Salvador de Jujuy,23 de Agosto,Argentina,,,
Guaraní Antonio Franco,Posadas,Estadio Clemente Oliviera,Argentina,,,
Huracán,Buenos Aires,Tomás Adolfo Ducó,Argentina,,,
Independiente Rivadavia,Mendoza,Bautista Gargantini,Argentina,,,
Instituto,Córdoba,Presidente Perón,Argentina,,,
Nueva Chicago,Buenos Aires,Estadio Nueva Chicago,Argentina,,,
Patronato,Paraná,Presbítero Bartolomé Grella,Argentina,,,
San Martín,San Juan,Bicentenario,Argentina,,,
Sarmiento,Junín,Estadio Eva Perón,Argentina,,,
Sportivo Belgrano,San Francisco,Oscar C. Boero,Argentina,,,
Temperley,Temperley,Estadio Alfredo Beranger,Argentina,,,
Unión,Santa Fe,15 de Abril,Argentina,,,
Acassuso,Boulogne,Estadio La Quema,Argentina,,,
Almagro,José Ingenieros,Estadio Tres de Febrero,Argentina,,,
Almirante Brown,Isidro Casanova,Fragata Presidente Sarmiento,Argentina,,,
Atlanta,Buenos Aires,Don León Kolbovski,Argentina,,,
Barracas Central,Buenos Aires,Estadio Barracas Central,Argentina,,,
Brown de Adrogué,Adrogué,Estadio Lorenzo Arandilla,Argentina,,,
Chacarita Juniors,Villa Maipú,Chacarita Juniors,Argentina,,,
Colegiales,Munro,Estadio Bajo Munro,Argentina,,,
Comunicaciones,Buenos Aires,Estadio Alfredo Ramos,Argentina,,,
Defensores de Belgrano,Buenos Aires,Estadio Juan Pasquale,Argentina,,,
Deportivo Armenio,Ingeniero Maschwitz,Estadio Armenia,Argentina,,,
Deportivo Español,Buenos Aires,Estadio Nueva España,Argentina,,,
Deportivo Merlo,Parque San Martín,José Manuel Moreno,Argentina,,,
Deportivo Morón,Morón,Estadio Francisco Urbano,Argentina,,,
Estudiantes (BA),Caseros,Estadio Ciudad de Caseros,Argentina,,,
Fénix,Pilar,Estadio Municipal de Pilar,Argentina,,,
Los Andes,Lomas de Zamora,Estadio Eduardo Gallardón,Argentina,,,
Platense,Florida,Estadio Ciudad de Vicente López,Argentina,,,
Sportivo Italiano,Ciudad Evita,Estadio de Sportivo Italiano,Argentina,,,
Tristán Suárez,Tristán Suárez,"Estadio ""20 de Octubre"" Tristán Suárez",Argentina,,,
UAI Urquiza,Villa Lynch,Estadio Monumental de Villa Lynch,Argentina,,,
Villa Dálmine,Campana,Estadio Villa Dálmine,Argentina,,,
Villa San Carlos,Berisso,Estadio Gennasio Salice,Argentina,,,
Argentino (M),Merlo,Estadio Juan Carlos Brevia,Argentina,,,
Argentino (Q),Quilmes,Estadio Argentino de Quilmes,Argentina,,,
Berazategui,Berazategui,Estadio Norman Lee,Argentina,,,
Cambaceres,Ensenada,Estadio Defensores de Cambaceres,Argentina,,,
Central Córdoba (R),Rosario,Estadio Gabino Sosa,Argentina,,,
Defensores Unidos,Zárate,Estadio Defensores Unidos,Argentina,,,
Deportivo Laferrere,Gregorio de Lafèrrere,Estadio Deportivo Laferrere,Argentina,,,
Deportivo Riestra,Buenos Aires,Estadio Guillermo Laza,Argentina,,,
Dock Sud,Dock Sud,Estadio de Los Inmigrantes,Argentina,,,
Excursionistas,Buenos Aires,Estadio Excursionistas,Argentina,,,
Flandria,Jáuregui,Estadio Carlos V,Argentina,,,
Ferrocarril Midland,Libertad,Estadio Ferrocarril Midland,Argentina,,,
General Lamadrid,Buenos Aires,Estadio Enrique Sexto,Argentina,,,
J. J. de Urquiza,Loma Hermosa,Estadio Ramón la Cueva,Argentina,,,
Juventud Unida,San Miguel,Estadio Franco Murggieri,Argentina,,,
Luján,Luján,Campo Municipal de Deportes,Argentina,,,
Sacachispas,Buenos Aires,Estadio Beto Larossa,Argentina,,,
San Telmo,Dock Sud,Estadio Dr. Osvaldo Baletto,Argentina,,,
Talleres (RE),Remedios de Escalada,Estadio Talleres de Remedios de Escalada,Argentina,,,
Argentino (R),Rosario,Estadio José María Olaeta,Argentina,,,
Atlas,General Rodríguez,Estadio Ricardo Puga,Argentina,,,
Atlético Lugano,Tapiales,Estadio Club Atlético Lugano,Argentina,,,
Cañuelas,Cañuelas,Estadio José Arin,Argentina,,,
Central Ballester,José León Suárez,,Argentina,,,
Centro Español,Villa Sarmiento,,Argentina,,,
Claypole,Claypole,Estadio Club Atlético Lugano,Argentina,,,
El Porvenir,Gerli,Estadio Gildo Francisco Ghersinich,Argentina,,,
Ituzaingó,Ituzaingó,Estadio Ituzaingó,Argentina,,,
Leandro N. Alem,General Rodríguez,Estadio Leandro N. Alem,Argentina,,,
Liniers,San Justo,Estadio Juan Antonio Arias,Argentina,,,
Muñiz,Muñiz,,Argentina,,,
Puerto Nuevo,Campana,Estadio Rubén Carlos Vallejos,Argentina,,,
San Martín (B),Burzaco,Estadio Francisco Boga,Argentina,,,
San Miguel,San Miguel,Estadio Malvinas Argentinas,Argentina,,,
Sportivo Barracas,San Carlos de Bolívar,Estadio Municipal de Bolívar,Argentina,,,
Victoriano Arenas,Valentín Alsina,Estadio Saturnino Moure,Argentina,,,
Alianza Atlético,Sullana,Miguel Grau (Piura),Peru,,,
Alianza Lima,Lima,Alejandro Villanueva,Peru,,,
Ayacucho,Ayacucho,Ciudad de Cumaná,Peru,,,
Cienciano,Cusco,Garcilaso,Peru,,,
Juan Aurich,Chiclayo,Elías Aguirre,Peru,,,
León de Huánuco,Huánuco,Heraclio Tapia,Peru,,,
Melgar,Arequipa,Virgen de Chapi,Peru,,,
Municipal,Lima,Iván Elías Moreno,Peru,,,
Real Garcilaso,Cusco,Garcilaso,Peru,,,
Sport Huancayo,Huancayo,Estadio Huancayo,Peru,,,
Sport Loreto,Pucallpa,Aliardo Soria,Peru,,,
Sporting Cristal,Lima,Alberto Gallardo,Peru,,,
Unión Comercio,Nueva Cajamarca,IPD de Moyobamba,Peru,,,
Universidad César Vallejo,Trujillo,Mansiche,Peru,,,
Universidad San Martín,Lima,Alberto Gallardo,Peru,,,
Universidad Técnica de Cajamarca,Cajamarca,Héroes de San Ramón,Peru,,,
Universitario,Lima,Monumental,Peru,,,
Águilas Doradas,Rionegro,Alberto Grisales,Colombia,,,
Alianza Petrolera,Barrancabermeja,Daniel Villa Zapata,Colombia,,,
Atlético Huila,Neiva,Guillermo Plazas Alcid,Colombia,,,
Atlético Nacional,Medellín,Atanasio Girardot,Colombia,,,
Boyacá Chicó,Tunja,La Independencia,Colombia,,,
Cortuluá,Tuluá,Doce de Octubre,Colombia,,,
Cúcuta Deportivo,Cúcuta,General Santander,Colombia,,,
Deportes Tolima,Ibagué,Manuel Murillo Toro,Colombia,,,
Deportivo Cali,Cali,Deportivo Cali,Colombia,,,
Deportivo Pasto,Pasto,Libertad,Colombia,,,
Envigado,Envigado,Polideportivo Sur,Colombia,,,
Independiente Medellín,Medellín,Atanasio Girardot,Colombia,,,
Jaguares,Montería,Municipal de Montería,Colombia,,,
Junior,Barranquilla,Metropolitano Roberto Meléndez,Colombia,,,
La Equidad,Bogotá,Metropolitano de Techo,Colombia,,,
Millonarios,Bogotá,Nemesio Camacho,Colombia,,,
Once Caldas,Manizales,Palogrande,Colombia,,,
Patriotas,Tunja,La Independencia,Colombia,,,
Santa Fe,Bogotá,Nemesio Camacho,Colombia,,,
Uniautónoma,Barranquilla,Metropolitano Roberto Meléndez,Colombia,,,
América de Cali,Cali,Pascual Guerrero,Colombia,,,
Atlético Bucaramanga,Bucaramanga,Alfonso López,Colombia,,,
Barranquilla F.C.,Barranquilla,Romelio Martínez,Colombia,,,
Bogotá F.C.,Bogotá,Metropolitano de Techo,Colombia,,,
Depor F.C.,Cali,Pascual Guerrero,Colombia,,,
Deportes Quindío,Armenia,Centenario,Colombia,,,
Deportivo Pereira,Pereira,Hernán Ramírez Villegas,Colombia,,,
Expreso Rojo,Girardot,Luis Antonio Duque,Colombia,,,
Fortaleza F.C.,Bogotá,Metropolitano de Techo,Colombia,,,
Leones F.C.,Turbo,John Jairo Tréllez,Colombia,,,
Llaneros F.C.,Villavicencio,Manuel Calle Lombana,Colombia,,,
Real Cartagena,Cartagena,Jaime Morón León,Colombia,,,
Real Santander,Floridablanca,Álvaro Gómez Hurtado,Colombia,,,
Unión Magdalena,Santa Marta,Municipal de Ciénaga,Colombia,,,
Universitario Popayán,Popayán,Ciro López,Colombia,,,
Valledupar F.C.,Valledupar,Armando Maestre Pavajeau,Colombia,,,
Albion,Montevideo,,Uruguay,,,
Alto Perú,Montevideo,,Uruguay,,,
Pegaso,San Carlos,,Uruguay,,,
Basañez,Montevideo,,Uruguay,,,
Bella Vista,Montevideo,,Uruguay,,,
Boston River,Montevideo,,Uruguay,,,
Central Español,Montevideo,,Uruguay,,,
Cerrito,Montevideo,,Uruguay,,,
Cerro,Montevideo,,Uruguay,,,
Cerro Largo,Melo,,Uruguay,,,
Colón F.C.,Montevideo,,Uruguay,,,
Coraceros,Montevideo,,Uruguay,,,
Danubio,Montevideo,,Uruguay,,,
Defensor Sporting,Montevideo,,Uruguay,,,
Deportivo Maldonado,Maldonado,,Uruguay,,,
Durazno,Durazno,,Uruguay,,,
El Tanque Sisley,Montevideo,,Uruguay,,,
Fénix,Montevideo,,Uruguay,,,
Huracán,Montevideo,,Uruguay,,,
Juventud Las Piedras,Las Piedras,,Uruguay,,,
Liverpool,Montevideo,,Uruguay,,,
Mar de Fondo,Montevideo,,Uruguay,,,
Miramar Misiones,Montevideo,,Uruguay,,,
Montevideo Wanderers,Montevideo,,Uruguay,,,
Nacional,Montevideo,,Uruguay,,,
Oriental,La Paz,,Uruguay,,,
Parque del Plata,Parque del Plata,,Uruguay,,,
Peñarol,Montevideo,,Uruguay,,,
Platense,Montevideo,,Uruguay,,,
Plaza Colonia,Colonia del Sacramento,,Uruguay,,,
Potencia,Montevideo,,Uruguay,,,
Progreso,Montevideo,,Uruguay,,,
Racing,Montevideo,,Uruguay,,,
Rampla Juniors,Montevideo,,Uruguay,,,
Rentistas,Montevideo,,Uruguay,,,
River Plate,Montevideo,,Uruguay,,,
Rocha,Rocha,,Uruguay,,,
Sud América,Montevideo,,Uruguay,,,
Tacuarembó,Tacuarembó,,Uruguay,,,
Torque,Montevideo,,Uruguay,,,
Uruguay Montevideo,Montevideo,,Uruguay,,,
Villa Teresa,Montevideo,,Uruguay,,,
Chicago Fire,Bridgeview,Toyota Park,Canada,,,
Columbus Crew SC,Columbus,Mapfre Stadium,USA,,,
D.C. United,"Washington, DC",RFK Stadium 1 2,USA,,,
Montreal Impact,Montreal,Saputo Stadium,Canada,,,
New England Revolution,Foxborough,Gillette Stadium 1 2,USA,,,
New York City FC,New York,Yankee Stadium 1 2,USA,,,
New York Red Bulls,Harrison,Red Bull Arena,USA,,,
Orlando City SC,Orlando,Orlando Citrus Bowl Stadium 1 2,USA,,,
Philadelphia Union,Chester,PPL Park,USA,,,
Toronto FC,Toronto,BMO Field,Canada,,,
Colorado Rapids,Commerce City,Dick's Sporting Goods Park,USA,,,
FC Dallas,"Frisco, ",Toyota Stadium,USA,,,
Houston Dynamo,Houston,BBVA Compass Stadium,USA,,,
LA Galaxy,Carson,StubHub Center,USA,,,
Portland Timbers,Portland,Providence Park,USA,,,
Real Salt Lake,Sandy,Rio Tinto Stadium,USA,,,
San Jose Earthquakes,San Jose,Avaya Stadium,USA,,,
Seattle Sounders FC,Seattle,CenturyLink Field 1,USA,,,
Sporting Kansas City,Kansas City,Sporting Park,USA,,,
Vancouver Whitecaps FC,Vancouver,BC Place1,Canada,,,
