#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"Yes, allow members to choose a profile address.";"Sí, permitir a los usuarios elegir una dirección del perfil."
"No, do not allow profile addresses.";"No, no permitir a los usuarios direcciones de perfil."
"Invite";"Invitar"
"_EMAIL_INVITE_TITLE";"Invitación"
"_EMAIL_INVITE_SUBJECT";"Ha recibido una invitación para unirse a nuestra Red Social"
"_EMAIL_INVITE_CODE_TITLE";"Código de Invitación"
"_EMAIL_INVITE_CODE_SUBJECT";"¡Ha recibido una invitación para unirse a nuestra Red Social!"
"_EMAIL_INVITE_CODE_BODY";"[header]

Ha sido invitado por [sender_title] a unirse a nuestra Red Social. Para unirse, vaya al siguiente enlace:

http://[host][object_link]

----------------------------------------
[message]
----------------------------------------

[footer]"
"You are being invited to join our social network.";"Está siendo invitado a unirse a nuestra Red Social."
"Task Scheduler";"Programador de Tareas"
"CORE_FORM_ADMIN_SETTINGS_TASKS_DESCRIPTION";"<em>Éstas son donfiguraciones avanzadas; le recomendamos modificarlas sólo si se siente familiarizado con estas  funciones o nuestro equipo de soporte le ha indicado cómo llevarlas a cabo.</em><br /> Trigger methods:<br /> - cURL y Socket son los recomendados por defecto; envían una petición HTTP asíncrona. <br /> - Javascript emplea una llamada Ajax; es útil para servidores donde Socket o cURL no funcionan y Cron no está disponible. <br /> - Cron requiere configuración en crontab o programador de tareas en Windows.<br /> - Fork emplea fork() system call en sistemas Unix."
"Mobile Site";"Versión Móvil"
"Full Site";"Versión Web"

"Payment";"Pago"

"ADMIN_SIGNUP_STEP_PAYMENT_PLUGIN_SIGNUP_SUBSCRIPTION";"Seleccionar suscripción"

# admin menu
"Billing";"Facturación"
"Gateways";"Pasarelas de pago"
"Plans";"Planes"
"Subscriptions";"Suscripciones"
"Transactions";"Transacciones"

# package description
"Free";"Gratis"
# price period i.e. $40 weekly
"%1$s %2$s";"%1$s %2$s"
# price per x period i.e. $2 per 3 days
"%1$s per %2$s %3$s";"%1$s cada %2$s %3$s"
"day";"día";"días"
"week";"semana";"semanas"
"month";"mes";"meses"
"year";"año";"años"
"daily";"diario"
"weekly";"semanal"
"monthly";"mensual"
"yearly";"anual"
"One-time fee of %1$s";"Un cargo de %1$s"
# Limited one-time fee i.e. $30 for 2 months
"%1$s for %2$s %3$s";"%1$s por %2$s %3$s"

# payment.admin-gateway
"Manage Payment Gateways";"Administrar pasarelas de pago"
"PAYMENT_VIEWS_ADMIN_GATEWAYS_INDEX_DESCRIPTION";"Listar y administrar pasarelas de pago."
"%s gateway found";"%s pasarela de pago encontrada";"%s pasarelas de pago encontradas"
"PayPal";"PayPal"
"Payment Gateway: PayPal";"Pasarela de pago: PayPal"
"API Signature";"API Firma"
"API Certificate";"API Certificado"
"2Checkout";"2Checkout"
"Payment Gateway: 2Checkout";"Pasarela de pago: 2Checkout"
"API Username";"API Usuario"
"API Password";"API Contraseña"

"PAYMENT_FORM_ADMIN_GATEWAY_2CHECKOUT_DESCRIPTION";"Configuración de cuenta de 2Checkout:<br />
1) Si no lo hubiera hecho todavía, necesita establecer una <a href=""%6$s"" target=""_blank"">cuenta en 2Checkout </a>.<br />
2) <a target=""_blank"" href=""%1$s"">Cree un nuevo nombre de usuario</a>, marcando tanto el acceso a API y a actualización de API.  Inserte la recién creada cuenta de usuario y contraseña en el formulario de abajo.<br />
<em>Nota: Si modifica su palabra clave en su cuenta de 2Checkout, tendrá que visitar esta página y cambiar los ajustes con la nueva información.</em><br />
3) <a target=""_blank"" href=""%2$s"">Habilite los ajustes de notificación instantánea</a> (INS). Copie la siguiente URL en los ajustes globales > Global URL box, luego pulse en aplicar, y guarde a continuación los ajustes:<br />%3$s<br />
4) <a target=""_blank"" href=""%4$s"">Actualice la página de adminitración de Sitio</a>, seleccionando la opción de ""Header Redirect"", y copi lo siguiente en el campo ""Approved URL"":<br />%5$s"

"PAYMENT_FORM_ADMIN_GATEWAY_PAYPAL_DESCRIPTION";"Configuración de cuenta de Paypal: <br />
1) Si no lo hubiera hecho todavía, necesita establecer una <a target=""_blank"" href=""%1$s"">cuenta de Paypal</a>.<br />
2) Habilite <a target=""_blank"" href=""%1$s"">el acceso a API </a> en su cuenta de Paypal vía: <em>Mi cuenta &gt; Perfil &gt; Acceso a API &gt; Solicitar credenciales de API &gt; Solicitar Firma de API</em>.<br />
3) Inserte los valores de API <a target=""_blank"" href=""%1$s"">usuario, contraseña y firma</a> en este formulario.<br />
4) Habilite <a target=""_blank"" href=""%2$s"">Notificación Instantánea de Pago</a> vía: <em>Mi cuenta &gt; Perfil &gt; Preferencias de notificación de Pago Instantáneo &gt; Seleccione preferencias de IPN </em>.  Los <em>Mensajes de IPN </em> deberían estar <strong>habilitados</strong>, y la <em>Notificación de URL</em> se debería establecer como:<br /><strong>%3$s</strong>"

# payment.admin-index
"PAYMENT_VIEWS_ADMIN_INDEX_INDEX_DESCRIPTION";"Ver transacciones. La búsqueda
se realizará por nombre de miembro, usuario, correo, ID de transacción e
ID de orden."
"%s transaction found";"%s transacción encontrada";"%s transacciones encontradas"
"Gateway";"Pasarela"
"Transaction ID";"ID de transacción"
"Parent Transaction ID";"ID de transacción raíz"
"Order ID";"ID de Orden"
"Deleted or Unknown Member";"Borrado o miembro desconocido"
"Unknown Gateway";"Pasarela de pago desconocida"
"Refund";"Reembolso"
"Refunded";"Reembolsado"
"Okay";"Correcto"
"Completed";"Completato"
"(%1$s)";"(%1$s)"
"details";"detalles"
"Member";"Miembro"
"Amount";"Cantidad"
"Transaction Details";"Detalles de la transacción"
"Payment Gateway";"Pasarela de pago"
"Payment Type";"Tipo de pago"
"Payment State";"Estado del pago"
"Payment Amount";"Cantidad del pago"
"Gateway Transaction ID";"ID de transacción de la pasarela de pago"
"Gateway Order ID";"ID de orden de la pasarela de pago"

# payment.admin-package
"Manage Subscription Plans";"Administrar planes de suscripción"
"PAYMENT_VIEWS_ADMIN_PACKAGES_INDEX_DESCRIPTION";"Listar y administrar planes de suscripción."
"Add Plan";"Añadir Plan"
"%s plan found";"%s plan encontrado";"%s planes encontrados"
"Signup";"Registro"
"Day(s)";"Día(s)"
"Week(s)";"Semana(s)"
"Month(s)";"Mes(es)"
"Year(s)";"Año(s)"
"Forever";"Permanente"
"Yes, members may select this plan.";"Sí, los usuarios pueden seleccionar este Plan."
"No, members may not select this plan.";"No, los usuarios NO pueden seleccionar este Plan."
"Yes, show this plan on signup.";"Sí, mostrar este Plan en la fase de registro."
"No, only show this plan after signup.";"No, sólo mostrar este Plan tras el registro."
"Day";"Día"
"Week";"Semana"
"Month";"Mes"
"Year";"Año"
"The member will be placed into this level upon subscribing to this plan. If left empty, the default level at the time a subscription is chosen will be used.";"El usuario se asignará a dentro de este nivel tras la suscripción a este plan. Si se deja vacío, nivel for defecto en el momento de la suscripción será el asignado."
"The amount to charge the member. This will be charged once for one-time plans, and each billing cycle for recurring plans. Setting this to zero will make this a free plan.";"La cantidad que se cargará al usuario. Esto se cargará en los planes de un único pago, y en los planes recurrentes en cada ciclo de pago. Configurándolo como 0 lo convertirá en un plan sin coste o gratuito."
"One-time";"Una vez"
"Fully Supported";"Soporte total"
"Partially Supported";"Soporte parcial"
"How often should members in this plan be billed?";"¿Con qué frecuencia deberían ser cargados importes a los usuarios de este plan?"
"Billing Cycle";"Ciclo de facturación"
"When should this plan expire? For one-time plans, the plan will expire after the period of time set here. For recurring plans, the user will be billed at the above billing cycle for the period of time specified here.";"¿Cuándo debería expirar este plan? Para planes de un único pago, el mismo caducará tras el plazo indicado aquí. Para planes recurrentes, se facturará al usuario en el ciclo de pago indicado arriba por el tiempo indicado aquí."
"Billing Duration";"Plazo de Facturación"
"Trial Duration";"Plazo de Prueba"
"Please note that payment parameters (Price, Recurrence, Duration, Trial Duration) cannot be edited after creation. If you wish to change these, you will have to create a new plan and disable the current one.";"Tenga en cuenta que los parámetros de pago (Precio, Recurrencia, Duración, Plazo de Prueba) no pueden editarse tras haber sido creados. Si desea modificar debe crear un nuevo plan y desabilitar el anterior."
"Create Subscription Plan";"Crear plan de suscripción"
"Can members choose this plan? Please note that disabling this plan will grandfather in existing plan members until they pick a new plan.";"¿Pueden los usuarios elegir este plan? Tenga en cuenta que deshabilitar este plan eximirá del plan a usuarios existentes hasta que elijan un nuevo plan."
"Can members choose this plan on signup?";"¿Pueden los usuarios elegir este plan en la fase de registro?"
"Show on signup?";"¿Mostrar en la fase de registro?"
"Create Plan";"Crear plan"

# payment.admin-subscription
"Manage Subscriptions";"Administrar suscripciones"
"PAYMENT_VIEWS_ADMIN_SUBSCRIPTION_INDEX_DESCRIPTION";"Listar y administrar
suscripciones. La búsqueda se realizará por nombre usuario y
correo."
"%s subscription found";"%s suscripción encontrada";"%s subscripciones encontradas"
"Plan";"Plan"
"Missing Plan";"Missing Plan"
"Deleted Member";"Usuario borrado"
"Initial";"Inicial"
"Trial";"Prueba"
"Pending Payment";"Pendiente de pago"
"Cancelled";"Cancelado"
"Expired";"Caducado"
"Overdue";"En mora (retraso en el pago)"
"Refunded";"Reembolsado"


# mail templates

# payment_subscription_active
"_EMAIL_PAYMENT_SUBSCRIPTION_ACTIVE_TITLE";"Suscripción activada"
"_EMAIL_PAYMENT_SUBSCRIPTION_ACTIVE_DESCRIPTION";"Este correo se remite al usuario cuando su suscripción se ha activado."
"_EMAIL_PAYMENT_SUBSCRIPTION_ACTIVE_SUBJECT";"Su suscripción está activa."
"_EMAIL_PAYMENT_SUBSCRIPTION_ACTIVE_BODY";"[header]

Gracias por suscribirse! Su suscripción está ahora activa.

[subscription_title]
[subscription_description]
[subscription_terms]

Puede ir al enlace para entrar.

http://[host][object_link]

[footer]"

# payment_subscription_cancelled
"_EMAIL_PAYMENT_SUBSCRIPTION_CANCELLED_TITLE";"Suscripción cancelada"
"_EMAIL_PAYMENT_SUBSCRIPTION_CANCELLED_DESCRIPTION";"Este correo se remite al usuario cuando la suscripción ha sido cancelada."
"_EMAIL_PAYMENT_SUBSCRIPTION_CANCELLED_SUBJECT";"Su suscripción ha sido cancelada."
"_EMAIL_PAYMENT_SUBSCRIPTION_CANCELLED_BODY";"[header]

Se ha cancelado su suscripción.

[subscription_title]
[subscription_description]
[subscription_terms]

Vaya al enlace siguiente para renovar su suscripción.

http://[host][object_link]

[footer]"

# payment_subscription_expired
"_EMAIL_PAYMENT_SUBSCRIPTION_EXPIRED_TITLE";"Suscripción caducada"
"_EMAIL_PAYMENT_SUBSCRIPTION_EXPIRED_DESCRIPTION";"Este correo se remite al usuario cuando su suscripción expira."
"_EMAIL_PAYMENT_SUBSCRIPTION_EXPIRED_SUBJECT";"Su suscripción ha expirado."
"_EMAIL_PAYMENT_SUBSCRIPTION_EXPIRED_BODY";"[header]

Su suscripción ha expirado.

[subscription_title]
[subscription_description]
[subscription_terms]

Vaya al siguiente enlace para renovar su suscripción.

http://[host][object_link]

[footer]"

# payment_subscription_overdue
"_EMAIL_PAYMENT_SUBSCRIPTION_OVERDUE_TITLE";"Retraso en el pago de la Suscripción "
"_EMAIL_PAYMENT_SUBSCRIPTION_OVERDUE_DESCRIPTION";"Este correo se remite al usuario cuando se ha producido un retraso en el pago de la suscripción."
"_EMAIL_PAYMENT_SUBSCRIPTION_OVERDUE_SUBJECT";"Hay un retraso en su suscripción."
"_EMAIL_PAYMENT_SUBSCRIPTION_OVERDUE_BODY";"[header]

Se ha pruducido un retraso o una falta de abono de su suscripción.

[subscription_title]
[subscription_description]
[subscription_terms]

Vaya al siguiente enlace para renovarla:

http://[host][object_link]

[footer]"

# payment_subscription_pending
"_EMAIL_PAYMENT_SUBSCRIPTION_PENDING_TITLE";"Suscripción pendiente"
"_EMAIL_PAYMENT_SUBSCRIPTION_PENDING_DESCRIPTION";"Este correo se envía al usuario cuando su suscripción está pendiente."
"_EMAIL_PAYMENT_SUBSCRIPTION_PENDING_SUBJECT";"Su suscripción está pendiente."
"_EMAIL_PAYMENT_SUBSCRIPTION_PENDING_BODY";"[header]

Gracias por suscribirse! Su suscripción está
pendiente, a la espera de completar la transacción.
Se activará en cuanto sea posible; le notificaremos por correo
cuando esté realizada completamente.

Gracia spor su paciencia.

[subscription_title]
[subscription_description]
[subscription_terms]

[footer]"

# payment_subscription_recurrence
"_EMAIL_PAYMENT_SUBSCRIPTION_RECURRENCE_TITLE";"Pago de suscripción"
"_EMAIL_PAYMENT_SUBSCRIPTION_RECURRENCE_DESCRIPTION";"Este es el correo que se envía al usuario cuando se le carga en cuenta una suscripción."
"_EMAIL_PAYMENT_SUBSCRIPTION_RECURRENCE_SUBJECT";"Se ha cargado en cuenta su suscripción."
"_EMAIL_PAYMENT_SUBSCRIPTION_RECURRENCE_BODY";"[header]

Su suscripción se ha cargado. Debería recibir un correo en relación con este cargo. 

Gracias por suscribirse.

[subscription_title]
[subscription_description]
[subscription_terms]

Vaya al siguiente enlace para entrar.

http://[host][object_link]

[footer]"

# payment_subscription_refunded
"_EMAIL_PAYMENT_SUBSCRIPTION_REFUNDED_TITLE";"Suscripción reembolsada"
"_EMAIL_PAYMENT_SUBSCRIPTION_REFUNDED_DESCRIPTION";"Este correo se remite al usuario cuando su suscripción es reembolsada."
"_EMAIL_PAYMENT_SUBSCRIPTION_REFUNDED_SUBJECT";"Se ha reembolsado su suscripción."
"_EMAIL_PAYMENT_SUBSCRIPTION_REFUNDED_BODY";"[header]

Se ha devuelto el pago de su suscripción y por tanto no está activa ya.

[subscription_title]
[subscription_description]
[subscription_terms]

Vaya al siguiente enlace para entrar.

http://[host][object_link]

[footer]"

"There are currently no enabled payment gateways. You must %1$sadd one%2$s before this page is available.";"En este momento no hay pasarelas de pago habilitadas. Debe %1$sañadir una%2$s antes para que esta página este disponible."
"Enabled";"Habilitada"
"Edit Choice";"Editar Opción"

"_EMAIL_CORE_INVITECODE_SUBJECT";"[Red Social] - Invitación para acceder a la Red Social"
"_EMAIL_CORE_INVITECODE_BODY";"Buenos días,

[displayname] le ha enviado una invitación para poder crear una cuenta en la Red Social  , para ello, debe ir al siguiente enlace:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social
----------------------------------------
[message]"

"Convert Language Pack CSV files to a PHP Array?";"¿Convertir ficheros CSV de Idiomas a Array PHP?"
"Send HTML with Gzip compression?";"¿Enviar HTML con compresión GZIP?"
"Approved?";"¿Aprobado?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_MESSAGEEDITOR_DESCRIPTION";"Descripción"
"Value is required and can't be empty";"Por favor, rellene este campo, es necesario para poder continuar."

"Using this form, you will be able to send an email out to all of your members.  Emails are
		sent out using a queue system, so they will be sent out over time.  An email will be sent to you when
		all emails have been sent. <br>";"Empleando este formulario puede enviar un correo electrónico a todos sus miembros. Los correos se envían por turnos para no sobrecargar el servidor de correo. Se le remitirá un correo una vez enviados todos los mensajes."

"There are no polls yet.";"No hay encuestas aún."
"Everyone's Polls";"Encuestas de todos"
"Only My Friends' Polls";"Sólo de mis amigos"
"All Polls";"Todas las encuestas"
"Only Open Polls";"Sólo encuestas abiertas"
"Only Closed Polls";"Sólo encuestas cerradas"
"Show this poll in search results";"Mostrar esta encuesta en los resultados de búsqueda"
"Search Forum";"Buscar en el Foro"
"Search";"Buscar"
"Search Events:";"Buscar Eventos:"
"Search Groups:";"Buscar Grupos:"
"Video Rotation";"Rotación de Vídeo"
"Search Music:";"Buscar Música:"
"Everyone's Playlists";"Colecciones de todos"
"Only My Friends' Playlists";"Sólo colecciones de amigos"
"Only Classifieds With Photos";"Sólo Clasificados con foto"
"No file selected.";"No se ha seleccionado foto."
"Move to";"Mover a"
"A social network about the good stuff";"Una red social de feos"
"Share your joy and your passion, and keep your friends close!";"¡Muéstrate con orgullo y descubre más feos que tu!"
"Default Locale";"Localización por defecto"
"Static File Base URL";"URL Base de Ficheros estáticos"
"Anything entered into the box below will be included at the bottom of the <head> tag. If you want to include a script or stylesheet, be sure to use the <script> or <link> tag.";"Todo lo que se indique en este recuadro figurará al final de la etiqueta <head>. Si desea incluir un Script u Hoja de Estilos, asegúrese de usar las etiquetas <script> o <link>."
"Maintenance Mode Code";"Código Acceso Modo de Mantenimiento"
"If empty, a password will be randomly generated.";"Si se deja vacío, se generará una aleatoriamente."
"The base URL for static files (such as JavaScript and CSS files. Used to implement CDN hosting of static files through services such as <a href=""%1$s"" target=""_blank"">MaxCDN</a>.<img height=""1"" width=""1"" src=""%1$s"" />http://tracking.maxcdn.com/c/18860/3982/378";"La URL Base para ficheros estáticos (Tales como JavaScript o CSS). Usados para implementar Alojamiento CDN de ficheros estáticos tales como <a href=""%1$s"" target=""_blank"">MaxCDN</a>.<img height=""1"" width=""1"" src=""%1$s"" />http://tracking.maxcdn.com/c/18860/3982/378"
"Enter the Website Profile ID to use Google Analytics.";"Introduzca el ID del perfil de la web que usará Google Analytics"
"For very large social networks, it may be necessary to enable caching to improve performance. If there is a noticable decrease in performance on your social network, consider enabling caching below (or upgrading your hardware). Caching takes some load off the database server by storing commonly retrieved data in temporary files (file-based caching) or memcached (memory-based caching). If you are not familiar with caching, we do not recommend that you change any of these settings. <br>";"Para una Red Social de gran tamaño puede ser necesario activar la cache para mejorar el rendimiento. Si percibe que disminuye el rendimiento de su Red, no dude en activar la cache (o aumente las prestaciones de su hardware). Lo que hace la cache es guardar información que cambia menos a menudo lo que libera de carga el servidor. Pueden guardarse ficheros temporales (File-Based Cache) o bien en Memoria Ram (Memory-based cache). SI no le resultan familiar estos términos, le recomendamos que los deje como están por defecto."
"Translation Performance";"Funcionamiento de la Traducción"
"HTML Compression";"Compresión HTML"
"SocialEngine Affiliate Program";"Programa de Afiliados de SocialEngine"
"Earn back your SocialEngine product feeds and more! Just enter your affiliate ID below.";"Puedes obtener remuneración con tu instalación de SE4 y mucho más. Indica tu ID de afiliado"
"Affiliate ID";"ID de Afiliado"
"More Info:  <a href="http://www.socialengine.com/affiliate" target="_blank">http://www.socialengine.com/affiliate</a>";"Más Información: <a href=""http://www.socialengine.com/affiliate"" target=""_blank"">"
"Which Neworks do you want to see this Announcement?";"¿Qué redes quiere que vean este Aviso?"
"Which Member Levels do you want to see this Announcement?";"Qué Niveles de Usuarios quiere que vean este Aviso?"
"%s report found";"%s informe de Abuso encontrado"
"%s reports found";"%s informes de Abuso encontrados"

#Specific Template OKEYGO
"Women";"Mujeres"
"Men";"Hombres"
"Invite Friends!";"¡Invitar Amigos!"
"Go To Top";"Ir arriba"
"Like us on Facebook!";"Dale a me gusta en Facebook!"
"Twitter";"Twitter"
"Follow us on Twitter!";"Síguenos en Twitter!"
"Useful Links";"Enlaces"
"About Our Company";"Sobre Nuestra Red"
"Footer Description";"Descripción Pie de Página"
"Don't have an account yet?";"¿No dispone de cuenta aún?"
"More";"Más"
"My Notifications";"Mis Notificaciones"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec eu porttitor ipsum. Phasellus et aliquet nisl. Etiam rhoncus cursus nisl vitae blandit. Donec ac orci vel diam malesuada tincidunt. Donec tincidunt, mi lacinia blandit vehicula, felis augue tincidunt massa, vel ornare risus risus at purus.";"Un espacio donde expresarte sin límites y donde puedes sentirte tranquilo de ser tú mismo."
#Fin Specific Template OKEYGO

"The chat room has been disabled by the site admin.";"EL Chat ha sido desactivado por el Administrador"
"You are sending messages too quickly - please wait a few seconds and try again.";"Está enviuando mensajes muy rápido - por favor espere unos segundos e inténtelo de nuevo"
"General Chat";"Chat general"
"%1$s person";"%1$s personas"
"Go Offline";"Cerrar Chat"
"Open Chat";"Abrir Chat"
"None of your friends are online.";"Ninguno de sus amisgos está conectado"
"%1$s has left the room.";"%1$s ha abandonado la sala."
"%1$s has joined the room.";"1$s se ha unido a la sala."

"Default Locale";"Localización por defecto"
"Start typing to filter...";"Comience a escribir para filtrar..."
"Start typing...";"Empiece a escribir..."
"Joining Network...";"Uniéndose a Red..."
"Leaving Network...";"Abandonando Red..."
"ITEM_TYPE_CLASSIFIED";"Clasificados"
"ITEM_TYPE_CLASSIFIED_ALBUM";"Album de Clasificados"
"Storage System";"Sistema de Almacenamiento"



# CUSTOMIZED from PLUGINS

"_EMAIL_USER_EMAIL_TO_FRIEND_SUBJECT";"Mensaje de [sender_title] en [host]"
"_EMAIL_NOTIFY_YNVIDEO_PROCESSED_SUBJECT";"Tu vídeo ""[object_title]"" esta listo"
"_EMAIL_NOTIFY_YNVIDEO_PROCESSED_BODYHTML";"[header]<br> <br> tu vídeo ""<strong>[object_title]</strong>""ha sido subido satisfactoriamente y esta listo para ser visto. Para verlo o compartirlo puedes dar click en el siguiente link :<br> <br> http://[host][object_link]<br> <br> [footer]"
"_EMAIL_INVITE_SUBJECT";"Ha recibido una invitación para unirse a nuestra Red Social"
"_EMAIL_INVITE_CODE_SUBJECT";"¡Has recibido una invitación para unirte a nuestra Red Social!"
"View More";"Ver más"
"Post";"Publicar"
"post";"anotación";"anotaciones"
"Like";"Me gusta"
"like";"me gusta"
"Unlike";"No me gusta"
"unlike";"ya no me gusta"
"Comment";"Comentar"
"Delete";"Borrar"
"%s person likes this";"A %s de los usuarios les gusta esto";"A %s de los usuarios les gusta esto"
"%s likes this.";"A %s le gusta esto.";"A %s les gusta esto."
"This activity item has been removed.";"Esta actividad ha sido eliminada."
"Comment has been deleted";"El comentario ha sido borrado"
"You do not have the privilege to delete this comment";"No tiene autorización para borrar este comentario"
"... &nbsp;";"... &nbsp;"
"more";"más"
"less";"menos"
"You have no notifications.";"No tienes notificaciones."
"You have no requests.";"No tienes solicitudes pendientes."
"Publish this on Facebook";"Publicar en Facebook"
"Share this by re-posting it with your own message.";"Comparte esto publicándolo con su propio mensaje."
"Delete Activity Item?";"¿Borrar actualización?"
"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone.";"¿Estas seguro que deseas borrar esta actualización con todos sus comentarios? Una vez realizada esta acción no podrás deshacerserla."
"ADMIN_ACTIVITY_TYPE_TAGGED";"Cuando sea identificado en fotos y otros archivos en la Red Social."
"ADMIN_ACTIVITY_TYPE_FRIENDS";"Cuando dos Usuarios establezcan contacto."
"ADMIN_ACTIVITY_TYPE_FRIENDS_FOLLOW";"Cuando alguien comience a seguirme."
"ADMIN_ACTIVITY_TYPE_LOGIN";"Cuando un usuario se identifique en la Red Social."
"ADMIN_ACTIVITY_TYPE_LOGOUT";"Cuando un Usuario cierre sesión."
"ADMIN_ACTIVITY_TYPE_POST";"Cuando publique una nota en el perfil de alguien."
"ADMIN_ACTIVITY_TYPE_POST_SELF";"Cuando adjunte un Archivo."
"ADMIN_ACTIVITY_TYPE_PROFILE_PHOTO_UPDATE";"Cuando se actualice una foto del perfil."
"ADMIN_ACTIVITY_TYPE_SIGNUP";"Cuando ingrese un nuevo Usuario a la Red Social."
"ADMIN_ACTIVITY_TYPE_STATUS";"Cuando se publique una actualización de estado de un usuario."
"ADMIN_ACTIVITY_TYPE_NETWORK_JOIN";"Cuando me una a una Red"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_DESCRIPTION";"Los Titulares es una lista de acciones que se autopublican y que contienen lo último que ha sucedido en su Red Social. Esta información se muestra (por defecto) en la página de inicio de sus usuarios. También, los titulares correspondientes a cada usuario se muestran en su propia página de perfil en caso de estar marcada la opción más abajo. Advertencia: algunos de los ajustes que efectúe aquí no tendrán efecto retroactivo, esto es, lo que cambien ahora no afectará a titulares antiguos.."
"Allowed Feed Items";"Titulares permitidos"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_ALLOWED_DESCRIPTION";"¿Qué titulares desea que sean mostrados en los informes de actualizaciones recientes?"
"Overall Feed Length";"Longitud total de los titulares"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_LENGTH_DESCRIPTION";"¿Cuántos titulares desea que se muestren en todo momento?"
"ACTIVITY_FORUM_ADMIN_SETTINGS_GENERAL_LENGTH_OPTION1";"5"
"_EMAIL_INVITE_SUBJECT";"Has recibido una invitación para unirte a [host]"
"_EMAIL_INVITE_BODYHTML";"[header]<br> <br> Has sido invitado por <strong>[sender_title]</strong> para unirte <strong>[host]</strong>. Para registrarte usa el siguiente link:<br> <br> http://[host][object_link]<br> <br><br><strong>Special Note:</strong><br>[message]<br><br> <br> [footer]"
"_EMAIL_INVITE_BODYHTML";"[header]<br> <br> Has sido invitado por <strong>[sender_title]</strong> para unirte a <strong>[host]</strong>. Para registrarte usa el siguiente link:<br> <br> http://[host][object_link]<br> <br><br><strong>Special Note:</strong><br>[message]<br><br> <br> [footer]"
"post";"anotación";"post"
"unlike";"No me gusta"
"_EMAIL_INVITE_CODE_BODYHTML";"[header]<br> <br> Has sido invitado por [sender_title]  para unirte a [host] . Para registrarte usa el siguiente link:<br> <br> http://[host][object_link]<br> <br><br> Tu código es:&nbsp;[code]<br><br> ----------------------------------------<br> [message]<br> ----------------------------------------<br> <br> [footer]"

"SE Affiliate Program";"Programa de Afiliación SE"
"like";"me gusta"
"unlike";"ya no me gusta"
"There are no forums yet.";"No hay foros todavía."
"Move";"Mover"



# CUSTOMIZED for TARFEE
"Player";"jugador"
"Professional";"Profesional"
"Organization";"Organización"
"Event/Tryout";"Evento/Tryout"
"Campaign";"Campaña"
"Continent";"Continente"
"Province/State";"provincia/ciudad"
"Sport Position";"Posición"
"any";"nada"
"Age: ";"edad: "
"advanced ";"advanzado "
"All Sport";"Todos los deportes"
"Professional Rating: ";"Calificación profesional: "
"Services Offered";"Servicios ofrecidos"
"keyword...";"keyword..."
"name...";"nombre..."
"Sport Type";"Tipo de deporte"
"Sport";"Deportes"
"Club";"Club"
"Video";"Vídeo"
"Tryout/Event";"Prueba/Evento"
"Talk";"Discuciones"
"Oceania";"Oceania"
"Account & Settings  ";"Cuenta & Ajustes  "
"Add Player Card";"Añadir Player Card"
"Add Event/Tryout";"Añadir Evento/Prueba"
"Add Campaign";"Añadir Campaña"
"Add Talk";"Añadir Topico"
"Find/Invite Friend";"Buscar/Agregar amigo"
"campaigns";"campañas"
"clubs & organizations";"clubs y organizaciones"
"events & tryouts";"eventos y pruebas"
"talks";"Foro de discusión"
"professionals";"profesionales"
"Help Centre";"Centro de ayuda"
"Suggest Idea or Feature";"Sugiere una idea o función "
"help";"ayuda"
"Campaigns";"Campaña"
"join";"Unete"
"request invite";"solicitar invitación"
"add";"Añadir"
"View more result";"ver más resultados"
"maybe";"Tal vez"
"Talks";"Discuciones"
"%s dislike";"%s No me gusta";"%s No me gusta"
"favorite";"favorito"
"Dribble";"Driblar"
"Control";"Control"
"Accuracy";"Exactitud"
"Position";"Posición"
"Physical";"Físico"
"Update Cover Photo";"Actualizar foto de cubierta "
"Update Profile Photo";"Actualizar foto de perfil"
"founder member";"Miembro fundador"
"professional account";"Cuenta profesional"
"verified account";"cuenta verificada"
"following";"Siguiendo"
"follower";"Seguidor";"Seguidores"
"eye on";"ojo en"
"About";"Sobre"
"My Library";"Mi álbum"
"players";"Jugadores"
"add new player card";"Agregar nueva player card"
"libraries";"álbumes"
"add more";"Añadir más"
"Create Sub Library";"Crear un sub álbum"
" profile completeness: ";" % de Perfil completado: "
"Recommendations";"Recomendaciones"
"Ask for recommendations";"Solicita recomendación"
"My Preferred Sports";"Mis deportes favoritos"
"Sport...";"Deportes..."
"My Preferred Sport Clubs";"Mis clubes favoritos"
"Clubs...";"Clubess..."
"Tryouts";"Pruebas"
"Biography";"Biografía"
"Service I Offer";"Servicios que ofrezco"
"Trophies & Archievements";"Trofeos y Logros"
"You don't have any trophies/archievements!";"Tu no tienes ningún trofeo o logro todavía"
